FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
1983	247248	86763	15	 	 	 	 	1st	Street	South	 	 	A1202	15 1st Street South A1202	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320222	{F4CF65D7-5E47-43DE-9179-33CF1AF99FC6}
347	43824	84181	15	 	 	 	 	1st	Street	South	 	 	A1203	15 1st Street South A1203	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320223	{FEAB3470-9BBE-4208-BB4C-186C36763410}
3878	473407	60473	15	 	 	 	 	1st	Street	South	 	 	A1205	15 1st Street South A1205	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320225	{D7D57FFB-2F8C-458B-8AA5-700619B787FD}
224	29308	88954	15	 	 	 	 	1st	Street	South	 	 	A1207	15 1st Street South A1207	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320227	{3D4D64F8-45E2-45DA-8B11-1E7043F4E68C}
2492	308790	88742	15	 	 	 	 	1st	Street	South	 	 	A1208	15 1st Street South A1208	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320228	{B20349C6-6120-4FEF-9708-0658FF77ECE1}
13	1774	84062	15	 	 	 	 	1st	Street	South	 	 	A1209	15 1st Street South A1209	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320229	{A0CCDD7B-5AC3-4503-B8F3-1EF5F8D48168}
626	79201	40795	15	 	 	 	 	1st	Street	South	 	 	A1210	15 1st Street South A1210	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320230	{06AFDE0E-A9F4-4679-BF5F-4BECA0BE9314}
1169	151931	44638	15	 	 	 	 	1st	Street	South	 	 	A1211	15 1st Street South A1211	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320231	{D46C5223-72BE-4B26-AE48-FA474653D1F7}
1774	224855	40793	15	 	 	 	 	1st	Street	South	 	 	A1212	15 1st Street South A1212	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320232	{35663A44-E282-415D-ADB3-79D791B4B2AA}
152	18510	61497	15	 	 	 	 	1st	Street	South	 	 	A1213	15 1st Street South A1213	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320233	{23C656C0-330E-4B71-ABF3-02E346015E7A}
