FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
354	45171	58341	100	 	 	 	 	3rd	Avenue	South	 	 	2005	100 3rd Avenue South 2005	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320723	{5A43A46A-F801-4C2D-A932-EA9BE10576D8}
636	81226	77988	100	 	 	 	 	3rd	Avenue	South	 	 	2006	100 3rd Avenue South 2006	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320724	{DDBC6A5A-E597-4E55-97B1-2EF0C94D4BB4}
873	115672	61217	100	 	 	 	 	3rd	Avenue	South	 	 	2007	100 3rd Avenue South 2007	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320725	{A59DBB72-6CCF-404B-B968-9421281DD8DC}
916	122357	56148	100	 	 	 	 	3rd	Avenue	South	 	 	2008	100 3rd Avenue South 2008	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320726	{82805B07-3B4D-4D65-B81A-3EFD2034F10E}
320	40981	61706	100	 	 	 	 	3rd	Avenue	South	 	 	2101	100 3rd Avenue South 2101	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320727	{AB688038-F4C8-4E7A-BE72-0561D50704D6}
352	44519	62151	100	 	 	 	 	3rd	Avenue	South	 	 	2102	100 3rd Avenue South 2102	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320728	{F91DAF25-AF56-47EB-8EA8-506CE315BBC2}
2700	333976	61057	100	 	 	 	 	3rd	Avenue	South	 	 	2103	100 3rd Avenue South 2103	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320729	{7209F3DC-1A41-4D3B-B4A3-C71470407C47}
2269	281536	60501	100	 	 	 	 	3rd	Avenue	South	 	 	2104	100 3rd Avenue South 2104	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320730	{7E7B0DA2-FE63-40BA-AFC7-26D47C1E5AB4}
1635	207152	60095	100	 	 	 	 	3rd	Avenue	South	 	 	2105	100 3rd Avenue South 2105	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320731	{38A85F31-8631-496A-8780-E9A4997B3C2F}
3312	405083	86863	100	 	 	 	 	3rd	Avenue	South	 	 	2106	100 3rd Avenue South 2106	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320732	{ED53DFAE-9287-40F7-B2D5-CCE427A897FB}
1735	220107	78242	100	 	 	 	 	3rd	Avenue	South	 	 	2107	100 3rd Avenue South 2107	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320733	{72013510-9CD9-4FEB-ADDC-6AC71411FAE1}
3945	480120	88808	100	 	 	 	 	3rd	Avenue	South	 	 	2108	100 3rd Avenue South 2108	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320734	{24CAAE71-1028-47A2-AF73-653EF0F9A6A3}
252	32964	60329	100	 	 	 	 	3rd	Avenue	South	 	 	2201	100 3rd Avenue South 2201	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320735	{849E2C22-6C21-4E62-8A91-6EF4F9DAB101}
3211	392656	62276	100	 	 	 	 	3rd	Avenue	South	 	 	2202	100 3rd Avenue South 2202	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320736	{7CF07D8C-2BB1-4F6F-9CEB-0B7397E29119}
2031	253055	432647	100	 	 	 	 	3rd	Avenue	South	 	 	2203	100 3rd Avenue South 2203	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320737	{603241BF-77FA-4DBF-82AF-ECC9448BBDC6}
721	93314	433221	100	 	 	 	 	3rd	Avenue	South	 	 	2204	100 3rd Avenue South 2204	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320738	{9D298049-CA46-4A93-8F11-5525DC7EA03F}
1019	132557	429390	100	 	 	 	 	3rd	Avenue	South	 	 	2205	100 3rd Avenue South 2205	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320739	{CA9EDC4E-0D2B-45EF-AB58-1695F9E10B61}
1090	142220	433056	100	 	 	 	 	3rd	Avenue	South	 	 	2206	100 3rd Avenue South 2206	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320740	{9798A5CA-0E18-431D-BF20-833E87A4764F}
3147	385487	449599	100	 	 	 	 	3rd	Avenue	South	 	 	2207	100 3rd Avenue South 2207	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320741	{8226EF14-C31C-49F2-927F-1F1BCD71C2CD}
1292	165373	59964	100	 	 	 	 	3rd	Avenue	South	 	 	2208	100 3rd Avenue South 2208	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320742	{00E1842D-DEEC-4A39-8F93-B98ABC134008}
276	35434	447130	100	 	 	 	 	3rd	Avenue	South	 	 	2301	100 3rd Avenue South 2301	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320743	{46E5DC12-49AE-48C9-A43F-A014EA3D8E36}
2863	351414	423865	100	 	 	 	 	3rd	Avenue	South	 	 	2303	100 3rd Avenue South 2303	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320744	{23780D1E-DD78-4174-88B1-52351091B5FA}
89	11053	422680	100	 	 	 	 	3rd	Avenue	South	 	 	2304	100 3rd Avenue South 2304	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320745	{3A3D2E08-2883-4E7F-97BE-10FE448E25DC}
3491	428338	428050	100	 	 	 	 	3rd	Avenue	South	 	 	2305	100 3rd Avenue South 2305	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320746	{71CB4C24-4479-435C-935C-9950E0798C00}
2503	309923	433237	100	 	 	 	 	3rd	Avenue	South	 	 	2306	100 3rd Avenue South 2306	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320747	{CA3D485B-7694-44F6-9467-89126CDA4575}
3819	467474	431280	100	 	 	 	 	3rd	Avenue	South	 	 	2307	100 3rd Avenue South 2307	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320748	{33366704-15E1-449F-A2EF-D380D03BB2D4}
368	46925	427230	100	 	 	 	 	3rd	Avenue	South	 	 	2308	100 3rd Avenue South 2308	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320749	{A4235EB4-880E-4E38-9AB4-A7D0C6D5BEF8}
2941	360603	78002	100	 	 	 	 	3rd	Avenue	South	 	 	2401	100 3rd Avenue South 2401	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320750	{98BDA7E0-7000-4EBE-BC5A-120F7222CF03}
2470	305415	61604	100	 	 	 	 	3rd	Avenue	South	 	 	2402	100 3rd Avenue South 2402	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320751	{F0E4C060-AF6C-436B-B187-644ED9FAE7CF}
3284	402190	61263	100	 	 	 	 	3rd	Avenue	South	 	 	2403	100 3rd Avenue South 2403	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320752	{FD77AEB4-FCA7-4DE6-9A27-2E88D63C6A8D}
3868	472231	61562	100	 	 	 	 	3rd	Avenue	South	 	 	2404	100 3rd Avenue South 2404	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320753	{0A500658-373D-4749-B56C-94AEF24EEB5A}
1076	139534	431208	100	 	 	 	 	3rd	Avenue	South	 	 	2405	100 3rd Avenue South 2405	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320754	{0B79E95A-6AB6-4D5D-B1A2-E1B8E583BB39}
3739	458042	77791	100	 	 	 	 	3rd	Avenue	South	 	 	2406	100 3rd Avenue South 2406	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320755	{4FC15E6C-3F6D-4030-8752-09178A7A0C48}
3464	425224	60870	100	 	 	 	 	3rd	Avenue	South	 	 	2407	100 3rd Avenue South 2407	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320756	{FCB1ED5B-8E40-4317-9D91-7795EA06580F}
2771	340903	78387	100	 	 	 	 	3rd	Avenue	South	 	 	2408	100 3rd Avenue South 2408	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320757	{98A24057-8182-41F9-B07E-8C8FA798FABE}
2711	334840	54772	100	 	 	 	 	3rd	Avenue	South	 	 	2501	100 3rd Avenue South 2501	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320758	{823AB3BB-87FF-4741-905B-E10E00856FBA}
2463	304260	81676	100	 	 	 	 	3rd	Avenue	South	 	 	2502	100 3rd Avenue South 2502	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320759	{B48F6B01-59BB-40C0-8343-940B99442732}
2688	332175	61901	100	 	 	 	 	3rd	Avenue	South	 	 	2503	100 3rd Avenue South 2503	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320760	{A0783669-4BF0-4EF2-8076-55E6439F1AF1}
977	128166	55471	100	 	 	 	 	3rd	Avenue	South	 	 	2505	100 3rd Avenue South 2505	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320762	{ED67E62E-C271-4249-B56E-EA1399247D6D}
1189	154014	55877	100	 	 	 	 	3rd	Avenue	South	 	 	2507	100 3rd Avenue South 2507	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320764	{8862F607-BF81-487A-B3CE-EBDD26520417}
1960	244515	88652	100	 	 	 	 	3rd	Avenue	South	 	 	2508	100 3rd Avenue South 2508	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320765	{FFC6D609-AC4B-49C5-B1AD-08FD28EC4E78}
2410	298359	58253	100	 	 	 	 	3rd	Avenue	South	 	 	2601	100 3rd Avenue South 2601	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320766	{DF577F19-E84B-4EA8-A753-B93AA34AE518}
2811	345641	88494	100	 	 	 	 	3rd	Avenue	South	 	 	2602	100 3rd Avenue South 2602	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320767	{700CA897-F125-4034-A796-180187345EAE}
1764	223497	60394	100	 	 	 	 	3rd	Avenue	South	 	 	2603	100 3rd Avenue South 2603	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320768	{486A4AA5-4826-4E6C-8D19-6C2BF84319A1}
3910	476530	60600	100	 	 	 	 	3rd	Avenue	South	 	 	2604	100 3rd Avenue South 2604	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320769	{2432F655-1B7D-4D39-A9E1-3351C11F2532}
1589	201224	59931	100	 	 	 	 	3rd	Avenue	South	 	 	2605	100 3rd Avenue South 2605	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320770	{795877F0-06CD-41D5-9529-FB06DFD31202}
3022	370063	60275	100	 	 	 	 	3rd	Avenue	South	 	 	2606	100 3rd Avenue South 2606	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320771	{F86C5796-0821-4061-B543-E06D3F9ACBEE}
1542	195828	77966	100	 	 	 	 	3rd	Avenue	South	 	 	2607	100 3rd Avenue South 2607	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320772	{FB7EF053-F3B4-4B8E-B8AA-062286BB8098}
1498	190805	59932	100	 	 	 	 	3rd	Avenue	South	 	 	2608	100 3rd Avenue South 2608	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320773	{40ED9AAA-DA51-4136-BA20-126161C5E2E7}
600	76450	55707	100	 	 	 	 	3rd	Avenue	South	 	 	2701	100 3rd Avenue South 2701	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320774	{A16F40C1-4814-44CC-8A17-95C923FC0722}
1510	192030	58340	100	 	 	 	 	3rd	Avenue	South	 	 	2703	100 3rd Avenue South 2703	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320775	{53EAB674-B0A1-4A85-9A22-22FFA8E9006F}
1051	136247	62325	100	 	 	 	 	3rd	Avenue	South	 	 	2704	100 3rd Avenue South 2704	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320776	{4CE20B61-D7E5-4E20-BD6E-8C8C3FD37F58}
3053	374928	58719	100	 	 	 	 	3rd	Avenue	South	 	 	2705	100 3rd Avenue South 2705	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320777	{E5AAC765-DDA5-4AFD-9B79-EA0B64D8CFF5}
3550	435004	60217	100	 	 	 	 	3rd	Avenue	South	 	 	2706	100 3rd Avenue South 2706	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320778	{1FB6BDC3-8CDB-4372-A7D5-1BD388956C62}
3640	445768	60179	100	 	 	 	 	3rd	Avenue	South	 	 	2707	100 3rd Avenue South 2707	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320779	{7D3B0765-330E-4675-8F52-84F79A66552B}
2018	251746	61448	100	 	 	 	 	3rd	Avenue	South	 	 	2708	100 3rd Avenue South 2708	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320780	{63747EBC-D1A5-4803-A95E-0E1273881214}
3370	412815	75972	100	 	 	 	 	3rd	Avenue	South	 	 	2801	100 3rd Avenue South 2801	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320781	{5661F2B1-2428-4D8A-A897-2452F94B4EDB}
253	33082	61411	100	 	 	 	 	3rd	Avenue	South	 	 	2802	100 3rd Avenue South 2802	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320782	{C7932BA4-220F-4C0B-BABB-BB4165B729E7}
3210	392498	54776	100	 	 	 	 	3rd	Avenue	South	 	 	2803	100 3rd Avenue South 2803	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320783	{2731C915-A2DE-4CC7-85C9-94AF604EE9F9}
53	6282	61149	100	 	 	 	 	3rd	Avenue	South	 	 	2804	100 3rd Avenue South 2804	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320784	{6C767657-942B-441F-97EA-74BB4186D60D}
110	14134	59965	100	 	 	 	 	3rd	Avenue	South	 	 	2805	100 3rd Avenue South 2805	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320785	{3804E8BD-7F61-4910-A1D6-B56E4FB7B13E}
2533	312716	60618	100	 	 	 	 	3rd	Avenue	South	 	 	2806	100 3rd Avenue South 2806	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320786	{5D80FCFE-3F1E-446B-82D1-EFC277D0832B}
2135	264301	84394	100	 	 	 	 	3rd	Avenue	South	 	 	2807	100 3rd Avenue South 2807	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320787	{8E117AA4-A100-43E8-B9A7-4EB0AE1F350C}
2144	265660	61198	100	 	 	 	 	3rd	Avenue	South	 	 	2808	100 3rd Avenue South 2808	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320788	{36EF5629-160F-4EE0-945A-8BEEE353CDAB}
2053	255756	76754	100	 	 	 	 	3rd	Avenue	South	 	 	2901	100 3rd Avenue South 2901	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320789	{A95C9F36-8A46-47BF-B608-49B2C3DC3383}
2971	363619	75973	100	 	 	 	 	3rd	Avenue	South	 	 	2902	100 3rd Avenue South 2902	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320790	{E0F88F95-B169-4DA1-8D83-17A1192E1A5E}
1545	196057	55520	100	 	 	 	 	3rd	Avenue	South	 	 	2903	100 3rd Avenue South 2903	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320791	{7E008E61-A5C9-4D14-B226-F174A614BAB9}
2883	353983	78372	100	 	 	 	 	3rd	Avenue	South	 	 	2904	100 3rd Avenue South 2904	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320792	{9F7E7BA6-8702-40A6-ABA7-B9ABAC33424E}
2988	366317	60617	100	 	 	 	 	3rd	Avenue	South	 	 	2905	100 3rd Avenue South 2905	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320793	{B470943F-ADCD-4992-B57E-DA9737E35762}
1184	153710	79100	100	 	 	 	 	3rd	Avenue	South	 	 	2906	100 3rd Avenue South 2906	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320794	{659BFEA9-0971-4415-8460-F1B5535CD715}
2212	274264	58453	100	 	 	 	 	3rd	Avenue	South	 	 	2907	100 3rd Avenue South 2907	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320795	{5EC9F414-1012-447B-BA26-8868DDB368E8}
2136	264367	60491	100	 	 	 	 	3rd	Avenue	South	 	 	2908	100 3rd Avenue South 2908	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320796	{F84E083C-EDD2-4540-9BF5-BE377582BF46}
526	67743	58938	100	 	 	 	 	3rd	Avenue	South	 	 	3001	100 3rd Avenue South 3001	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320797	{B8493E5F-EDCE-46D6-8F78-11E2E5F8745C}
2365	293843	60915	100	 	 	 	 	3rd	Avenue	South	 	 	3002	100 3rd Avenue South 3002	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320798	{9B331927-4AF2-43ED-A457-FB2BCF079328}
1833	231107	58941	100	 	 	 	 	3rd	Avenue	South	 	 	3003	100 3rd Avenue South 3003	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320799	{46C9FCBF-F8A6-4EC0-AB5D-26C8F1DCC375}
1850	232423	55009	100	 	 	 	 	3rd	Avenue	South	 	 	3004	100 3rd Avenue South 3004	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320800	{FCE221D9-ADF9-43D1-92F9-3589C911EEF6}
2830	347016	84737	100	 	 	 	 	3rd	Avenue	South	 	 	3005	100 3rd Avenue South 3005	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320801	{91F58C04-85DB-4E95-B0AC-88E995B73071}
3831	469155	77644	100	 	 	 	 	3rd	Avenue	South	 	 	3006	100 3rd Avenue South 3006	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320802	{66D42A64-D5FB-455F-B70D-8C982639F8CA}
413	52423	84549	100	 	 	 	 	3rd	Avenue	South	 	 	3007	100 3rd Avenue South 3007	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320803	{B0586D24-EE0C-40BD-A21F-8206E8D0AF79}
926	123099	86044	100	 	 	 	 	3rd	Avenue	South	 	 	3008	100 3rd Avenue South 3008	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320804	{839F9E54-AF1F-4429-B031-E7349F13C24C}
305	39429	60619	100	 	 	 	 	3rd	Avenue	South	 	 	3101	100 3rd Avenue South 3101	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320805	{3C3B132B-9ABD-430F-A9BE-C4E1E358D745}
1904	238947	54978	100	 	 	 	 	3rd	Avenue	South	 	 	3102	100 3rd Avenue South 3102	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320806	{5CE65421-986B-4D34-97D6-81D10920519F}
1361	173188	59260	100	 	 	 	 	3rd	Avenue	South	 	 	3103	100 3rd Avenue South 3103	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320807	{09D79412-2F4B-4F87-9B57-B6ED72E693CC}
1772	224765	107602	100	 	 	 	 	3rd	Avenue	South	 	 	3104	100 3rd Avenue South 3104	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320808	{F652D7F0-14B0-4134-97AF-9DF0B2ED5D0F}
3714	455998	58323	100	 	 	 	 	3rd	Avenue	South	 	 	3201	100 3rd Avenue South 3201	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320809	{684E7893-D90A-45A7-8F66-0FA1AB044C96}
353	44863	449797	100	 	 	 	 	3rd	Avenue	South	 	 	3202	100 3rd Avenue South 3202	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320810	{E66D1A0E-CF65-4B7D-B875-789E9F66F89D}
1273	163267	56131	100	 	 	 	 	3rd	Avenue	South	 	 	3203	100 3rd Avenue South 3203	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320811	{04AB041A-D8AE-484D-A3DC-BE6D03FBB532}
3851	471118	58324	100	 	 	 	 	3rd	Avenue	South	 	 	3204	100 3rd Avenue South 3204	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320812	{0CB52C7A-FA04-4638-BC78-520E11EE2586}
2955	362042	56121	100	 	 	 	 	3rd	Avenue	South	 	 	3301	100 3rd Avenue South 3301	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320813	{1BC6AAE0-53BE-4B91-BF3A-44BCFCE48F4B}
3838	469772	85455	100	 	 	 	 	3rd	Avenue	South	 	 	3302	100 3rd Avenue South 3302	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320814	{F2603F9C-C138-409E-A484-9A3379BEF7F5}
1066	138534	61658	100	 	 	 	 	3rd	Avenue	South	 	 	3303	100 3rd Avenue South 3303	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320815	{884E6B1F-264A-4C12-98C7-38423DEAABDA}
266	34763	84995	100	 	 	 	 	3rd	Avenue	South	 	 	3304	100 3rd Avenue South 3304	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320816	{F4269344-7C8D-42CC-AC5D-1E32E3C35202}
2112	261584	82668	100	 	 	 	 	3rd	Avenue	South	 	 	3401	100 3rd Avenue South 3401	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320817	{00CDADF3-B509-4000-BCD0-8D9B1F540761}
1978	246748	84067	100	 	 	 	 	3rd	Avenue	South	 	 	3402	100 3rd Avenue South 3402	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320818	{C61FC6F2-000E-4FB9-A873-4F5B60D68F79}
322	41261	79106	100	 	 	 	 	3rd	Avenue	South	 	 	3403	100 3rd Avenue South 3403	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320819	{D3543BDC-A00D-496C-861C-39011584EB1D}
2138	264477	54998	100	 	 	 	 	3rd	Avenue	South	 	 	3404	100 3rd Avenue South 3404	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320820	{C17AC999-BF2B-491A-B4C7-6C8CF6395062}
2256	279724	60255	100	 	 	 	 	3rd	Avenue	South	 	 	3501	100 3rd Avenue South 3501	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320821	{232036D5-6050-44D6-9228-94EB2D534B72}
3420	419468	86864	100	 	 	 	 	3rd	Avenue	South	 	 	3502	100 3rd Avenue South 3502	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320822	{FAD52F7D-9D8B-41EC-9D26-D670D69F46AB}
3405	416969	61179	100	 	 	 	 	3rd	Avenue	South	 	 	3503	100 3rd Avenue South 3503	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320823	{1465593C-24F8-435D-AC5C-506721B3056E}
2903	356423	60509	100	 	 	 	 	3rd	Avenue	South	 	 	3504	100 3rd Avenue South 3504	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320824	{3EB051BF-A1E9-41DC-98AD-11E9FAA9B14F}
1323	168760	84683	100	 	 	 	 	3rd	Avenue	South	 	 	3601	100 3rd Avenue South 3601	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320825	{8EB1147E-FDCA-45BC-8293-58F0047845F9}
684	88607	60504	100	 	 	 	 	3rd	Avenue	South	 	 	3602	100 3rd Avenue South 3602	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320826	{C5103034-A52F-4792-9FA7-BFB5A4AC0DB5}
3318	405925	60601	100	 	 	 	 	3rd	Avenue	South	 	 	3603	100 3rd Avenue South 3603	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320827	{9B1BFE33-2D93-4994-A11E-76DEB8D3E2DA}
3525	431879	61483	100	 	 	 	 	3rd	Avenue	South	 	 	3604	100 3rd Avenue South 3604	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320828	{00AD089D-FEC0-4B66-A98B-BAF031A451E0}
2060	256122	86633	100	 	 	 	 	3rd	Avenue	South	 	 	3701	100 3rd Avenue South 3701	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320829	{C91D8A60-16F6-41B8-8EFE-6F9900A73B7D}
3199	391155	79105	100	 	 	 	 	3rd	Avenue	South	 	 	3702	100 3rd Avenue South 3702	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320830	{E15D6688-7D8D-4844-8A8B-744FAAB483D1}
1620	205271	60510	100	 	 	 	 	3rd	Avenue	South	 	 	3801	100 3rd Avenue South 3801	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320831	{1B5345B2-FBC9-42C4-9620-C519DF7C5602}
2217	274677	85581	100	 	 	 	 	3rd	Avenue	South	 	 	3802	100 3rd Avenue South 3802	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320832	{43AE1B53-A140-4732-AB18-3A5DE7988DBD}
3268	399626	55596	100	 	 	 	 	3rd	Avenue	South	 	 	3901	100 3rd Avenue South 3901	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320833	{AD3F0941-17AA-4694-B9CE-D794471152A5}
1954	243910	60754	100	 	 	 	 	3rd	Avenue	South	 	 	3902	100 3rd Avenue South 3902	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320834	{7B27B51E-4937-4EEA-93FE-D286127CD7F6}
2827	346782	77745	15	 	 	 	 	1st	Street	South	 	 	A1204	15 1st Street South A1204	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320835	{AC75F1BC-B95D-414B-BFE2-CEB92464208D}
1888	236365	448986	100	 	 	 	 	3rd	Avenue	South	 	 	1901	100 3rd Avenue South 1901	Minneapolis	55401	 	 	 	0	Centroid	-93.26288402	44.98173159	2302924320836	{A48BB8CA-F080-4076-AFAE-9C04A57BE044}
